city_name,population,average_distance,average_time,number_of_beds,bed_population_ratio
Cluj-Napoca,286598,1266.009725,382.5388046495072,3779,13.185716578622321
Iasi,271692,1971.1581300000003,491.66104840699006,5102,18.77861696332612
Constanta,263707,750.9906281407036,249.70617685960895,1941,7.3604417023438895
Timisoara,250849,1038.4367918781727,287.19353229166575,3375,13.454309166072019
Brasov,237589,2080.528675,525.5938394216889,2553,10.745446969346224
Craiova,234140,1653.446040201005,447.9301497189614,3091,13.201503374049715
Galati,217851,1230.4003015075375,342.1106429644398,2527,11.59967133499502
Oradea,183105,2047.535175879397,653.7048256439075,1596,8.716310313754404
Ploiesti,180539,827.8561827411168,266.8104761188633,1857,10.285866211732644
Braila,154686,1524.20858,440.7087442005819,1777,11.487788164410484
Arad,145078,1909.7872211055276,523.7583429692436,1368,9.429410386137112
Pitesti,141275,1586.2091,468.06193465917784,1348,9.541674039992921
Bacau,136087,2305.1772949999995,597.6794476734337,1531,11.250156150109856
Sibiu,134308,1234.472685,417.69967835373905,2125,15.821842332549066
Targu-Mures,116033,872.8706349999999,257.5066313601341,0,0.0
Baia Mare,108759,2618.823205,832.0670018506034,1265,11.63122132421225
Buzau,103481,1114.2372964824121,319.01941905015366,910,8.793884867753501
Ramnicu Valcea,93151,2091.626695,551.9016925614384,0,0.0
Satu Mare,91520,1950.61629,610.3174057336588,0,0.0
Botosani,90010,1164.102175,402.50337446808123,1853,20.586601488723474
Suceava,84322,2716.3253195876287,883.1920949609536,1200,14.231161499964422
Resita,83324,2323.76201,545.7183798663318,835,10.02112236570496
Drobeta Turnu-Severin,79865,1686.7398775510205,410.01174778227903,1147,14.361735428535654
Piatra Neamt,79679,1215.65405,404.27636819119357,883,11.081966390140439
Bistrita,78877,2654.766495,937.5849165769054,997,12.639933060334444
Targu Jiu,73545,1947.0903399999997,630.9065729467948,1009,13.719491467808824
Targoviste,66965,1194.806145,434.742180053075,1938,28.940491301426118
Focsani,66648,1483.5769899497486,399.2008569241069,909,13.6388188692834
Tulcea,65624,2003.979165,636.3441771604327,735,11.200170669267342
Alba Iulia,64227,2340.5409149999996,724.8468587621986,0,0.0
Slatina,63487,895.382955,312.16421916786425,1153,18.161198355568857
Vaslui,63035,1016.2206450000001,312.68295624419153,892,14.15086856508289
Calarasi,58211,1343.508675,393.11591188476575,673,11.561388740959613
Giurgiu,54551,1424.01592,437.6086804829313,514,9.422375391835164
Popesti-Leordeni,53434,1820.5818181818179,482.1303846809707,0,0.0
Barlad,52475,1631.6265850000002,438.5819898935946,784,14.940447832301096
Zalau,52359,1099.7589696969699,333.95732415181794,753,14.38148169369163
Floresti,50307,1999.553855,665.4639887325901,0,0.0
Sfantu-Gheorghe,50080,2721.2791599999996,706.6937432396448,0,0.0
Turda,43319,2442.4551850000003,461.7609742583612,364,8.402779380872134
Miercurea-Ciuc,42029,1522.8962060301506,460.706117292798,0,0.0
Slobozia,41550,1015.3179999999999,368.84503925810816,510,12.274368231046932
Alexandria,40390,2133.178715,592.2982402607157,0,0.0
Bragadiru,40080,2130.884435,469.7582683647992,0,0.0
Medias,39505,1299.98298,343.2576339395792,335,8.47993924819643
Lugoj,35450,3925.0892500000004,949.4605383387374,368,10.380818053596615
Navodari,34398,2309.021445,644.7292327232552,0,0.0
Onesti,34005,2315.29467,646.2984742233882,573,16.850463167181296
Pantelimon,32873,6165.382502512564,1092.8294192865978,0,0.0
Tecuci,32801,1773.025845,452.23658185207466,265,8.079021981037164
Sighetu Marmatiei,32793,1475.95586,519.0945532459523,0,0.0
Mangalia,31950,1375.9185700000003,408.59474206955514,270,8.450704225352112
Dej,31475,2129.3668199999997,603.4171361183539,484,15.377283558379666
Odorheiu Secuiesc,31335,813.446085,313.51406758911844,539,17.20121270145205
Sacele,30920,2540.346695,604.7755056749371,0,0.0
Pascani,30766,1631.8569,556.2363451830444,538,17.486836117792368
Ramnicu Sarat,29774,1961.9020299999997,574.5294584738081,405,13.602471955397327
Reghin,29742,4533.269125628141,1128.449662350262,301,10.120368502454442
Mioveni,29317,3754.9350050000003,747.1578827365538,139,4.741276392536753
Campina,28993,1166.17383,384.6441284602338,302,10.416307384541096
Borsa,27711,1341.50098,424.742794457337,350,12.630363393598211
Campulung,27574,2079.1092200000003,637.5848587551612,472,17.117574526728077
Fetesti,27465,1289.557765,440.5838048844134,152,5.534316402694338
Caracal,27403,3997.74173,910.1954355251302,440,16.056636134729775
Sebes,26490,2214.11087,494.56377334440674,231,8.720271800679502
Fagaras,26284,2755.098465,616.9565909618132,273,10.386546948714047
,,937.07584,314.2871712778007,,
,,1719.397783919598,516.042278828481,,
,,995.63664,299.19677252298237,,
